,Energy,Error,Architecture,Method,cost
243,0.200843047356487,0.251108425941165,ResNet,PESMO,0
244,0.157502022714333,0.326899885620367,ResNet,PESMO,0
245,0.123290681529871,0.438613122787433,ResNet,PESMO,0
246,0.28827425009739,0.170537940554478,ResNet,ParEGO,0
247,0.273121372848681,0.181721490779264,ResNet,ParEGO,0
248,0.250297164204449,0.183686214558916,ResNet,ParEGO,0
249,0.225135596775644,0.186862145589165,ResNet,ParEGO,0
250,0.181874481835526,0.191911229353196,ResNet,ParEGO,0
251,0.176550497937331,0.201473605823255,ResNet,ParEGO,0
252,0.148402305394904,0.219290824132182,ResNet,ParEGO,0
253,0.144576628409897,0.225331691870735,ResNet,ParEGO,0
254,0.127825557120454,0.338977014075185,ResNet,ParEGO,0
255,0.309827425009739,0.177379405544782,ResNet,Ratio-FlexiBO+GP,0
256,0.273121372848681,0.188372149077926,ResNet,Ratio-FlexiBO+GP,0
257,0.240297164204449,0.199686214558917,ResNet,Ratio-FlexiBO+GP,0
258,0.232513559677564,0.219686214558916,ResNet,Ratio-FlexiBO+GP,0
259,0.188187448183553,0.231911229353196,ResNet,Ratio-FlexiBO+GP,0
260,0.177655049793733,0.251473605823255,ResNet,Ratio-FlexiBO+GP,0
261,0.16684023053949,0.271929082413218,ResNet,Ratio-FlexiBO+GP,0
262,0.14545766284099,0.292533169187073,ResNet,Ratio-FlexiBO+GP,0
263,0.127825557120454,0.340897701407519,ResNet,Ratio-FlexiBO+GP,0
264,0.339371899753279,0.202193708674516,ResNet,Ratio-FlexiBO+RF,0
265,0.255387911659824,0.202233468618485,ResNet,Ratio-FlexiBO+RF,0
266,0.219084304735649,0.212110842594117,ResNet,Ratio-FlexiBO+RF,0
267,0.263019288204329,0.228220915986585,ResNet,Ratio-FlexiBO+RF,0
268,0.162502472206407,0.233708674515688,ResNet,Ratio-FlexiBO+RF,0
269,0.245387911659824,0.239223346861848,ResNet,Ratio-FlexiBO+RF,0
270,0.210843047356487,0.242110842594117,ResNet,Ratio-FlexiBO+RF,0
271,0.192502472206407,0.263708674515688,ResNet,Ratio-FlexiBO+RF,0
272,0.157502022714333,0.265689988562037,ResNet,Ratio-FlexiBO+RF,0
273,0.157502022714333,0.275689988562037,ResNet,Ratio-FlexiBO+RF,0
274,0.132329068152987,0.336386131227874,ResNet,Ratio-FlexiBO+RF,0
275,0.132329068152987,0.346386131227874,ResNet,Ratio-FlexiBO+RF,0
276,0.482864363269506,0.220370010571736,ResNet,SMSEGO,0
277,0.369772157462069,0.223655928840829,ResNet,SMSEGO,0
278,0.363718997532789,0.230708674515688,ResNet,SMSEGO,0
279,0.213019288204329,0.231159865847793,ResNet,SMSEGO,0
280,0.205387911659824,0.233468618484607,ResNet,SMSEGO,0
281,0.200843047356487,0.241084259411651,ResNet,SMSEGO,0
282,0.192502472206407,0.283708674515688,ResNet,SMSEGO,0
283,0.157502022714333,0.326899885620367,ResNet,SMSEGO,0
284,0.123290681529871,0.338613122787433,ResNet,SMSEGO,0
285,0.480010402392551,0.175103207089989,SqueezeNet,FlexiBO+GP,0
286,0.299585571348076,0.175800051006076,SqueezeNet,FlexiBO+GP,0
287,0.294651103087043,0.176002111901199,SqueezeNet,FlexiBO+GP,0
288,0.237099932984586,0.17602981084066,SqueezeNet,FlexiBO+GP,0
289,0.227621886367198,0.176267869537891,SqueezeNet,FlexiBO+GP,0
290,0.215071299732272,0.187298108406603,SqueezeNet,FlexiBO+GP,0
291,0.191168101996792,0.187530980881502,SqueezeNet,FlexiBO+GP,0
292,0.177131540254258,0.191809943969791,SqueezeNet,FlexiBO+GP,0
293,0.157098199252495,0.202240783154181,SqueezeNet,FlexiBO+GP,0
294,0.149529791852126,0.219301598918481,SqueezeNet,FlexiBO+GP,0
295,0.139394127315949,0.233390509501561,SqueezeNet,FlexiBO+GP,0
